Title,Storyline
2783. Dieci minuti,Ten minutes a day can change the course of your day. Ten minutes doing something completely new can change the course of a life. This is what Bianca will discover in the midst of an existential crisis.
2784. The Naboo Movie: A Live Staged Reading of Star Wars: The Phantom Menace,"Two Jedi knights become caught up in a galactic dispute while protecting a queen. They encounter a gifted boy, compete in a high-stakes podrace, and battle an army of droids."
2785. XXX Premis Butaca,
2786. Tegendraads,"East of the Netherlands, 1960. Economy is booming, and the local textile-factories import workers from Italy. The integration of these Italians in the local community is not without difficulties. That's what 'Tegendraads' is about. Of course its plot also provides some love stories, some successful Italians, and a local girl breaking out to become a fashion-designer."
2787. Cadi,"The tense events unfold as the young widow Fikriye, forcibly married to Nasit Nefi Efendi during the final days of the Ottoman Empire attempts to unravel the mystery behind the witch rumors surrounding the mansion where she lives."
2788. Sinful Paradise: Welcome to Paradise,"A group of hardworking ladies try to keep things running smoothly at Paradise, one of the hottest, women-owned gentlemen's clubs in Atlanta."
2789. Tenants,"After waking up in an unfamiliar apartment complex, a woman desperately searches for her sister while being hunted by a shadowy figure. As she makes her way through the building, unspeakable horrors befall the tenants she interacts with."
2790. Kaagaz 2,The Struggles of a common man whose right to life is infringed upon by protests and rallies
2791. Tezgah,"A writer, an actress, a musician, and a kitchen counter collide in a bloody night where art, deceit, and betrayal stain an old mother's rug. This tale of a ""loveless"" era that."
2792. The Women in the Lakes,Police investigate the death of a 100 year old man at a nursing home. Several women are concerned in the incident. A journalist also investigates. One of the investigators has a illicit relationship with one of the suspects.
2793. Stupid Games,A girl's discreet attempt to assess her one night stand and his friends takes a deadly turn when she and her roommates host a dinner party where they unknowingly unleash a malevolent force.
2794. Trap City,"A rapper caught in the drug trade becomes an overnight sensation with a viral hit song. Facing prison, he must choose between his rising fame and testifying against a dangerous criminal."
2795. Brewster's Millions: Christmas,"Follows Morgan Brewster's quest to inherit her uncle's fortune before Christmas. Amid holiday chaos, she discovers love, faith, and family's importance through giving."
2796. Mechanic Rocky,A mechanic uncovers a sinister plot during a feud with local gangsters over ownership of his father's garage in this twisty Telugu-language action drama.
2797. Its Name Was Mormo,"A young family's life unravels into chaos as a sinister presence targets each member in its own malicious manner. Through the lens of police evidence, Mark, Diana, and Mia endure the torment of a demon deeply rooted in Greek mythology."
2798. Just a Farmer,"A newly widowed mother is left with the care of an alcoholic father-in-law and a failing farm. She is forced to forge a new path for her family, all while struggling to pick up the pieces of her life."
2799. Memorabilia,An old gay man tries to remember all his past lovers.
2800. Dikkie Dik 2: Een nieuwe vriend voor Dikkie Dik,"On a winter's day, Dikkie Dik and Poes Muis discover something new: snow! But there is also a new neighbour; a big, noisy dog called Blaf. Brr, the cats don't like that!"
2801. Thaghut,"Ainun found out that her biological father, Abah Mulya, was actually a spiritual teacher who taught heresy and distanced himself from the Qibla. Can Ainun guide them to the right path again?"
2802. Married,"Two strangers meet through a ride-sharing app and find themselves sharing more than what's expected. Both having problems with their respective marital lives, they find comfort in each other's company."
2803. Garbo: Where Did You Go?,"An urgent, timely and compelling portrait of Hollywood icon Greta Garbo, whose fame, isolation and loneliness still captures us."
2804. A European Christmas,"When Christmas movie director Ivy has another 'heartless' flop, she seeks the star of her debut hit in snowy Serbia. Despite refusing to return, he shows her the wonder of Serbian Christmas."
2805. The Time of Fever,"Childhood friends Ho Tae and Dong Hee reunite after years. Dong Hee harbors feelings for Ho Tae, who experiences new emotions toward her but dates girls. An incident strains their relationship dynamics."
2806. Firecracker,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night."
2807. Dog,"When Jesus, his faithful companion, goes missing, Virendra - a reclusive ex-convict, suffering from PTSD - pushes away the only person that truly cares about him and searches the frozen landscape for answers."
2808. Christmas Overtime,An unemployed actress tries to run away from Christmas but is offered a commercial by a lonely ad executive if she can convince his Christmas-obsessed staff to finish an ad campaign on Christmas Eve.
2809. Dilan 1983,"In 1983, Dilan reunites with his elementary school friends after a year and a half away and tries to impress a transfer student."
2810. Poison Sangga: The Homewrecker's Curse,"The life of a married couple, Maya and Andi, who both begin to be disturbed by a series of mysterious oddities."
2811. Fear Cabin: The Last Weekend of Summer,Six friends' end-of-summer cabin party turns deadly when they discover they're not alone in the woods. Their weekend of drinking and fun becomes a fight for survival with an unwanted visitor.
2812. Jimmy Carr: Natural Born Killer,"An iconic comedian tackles controversial issues such as gun control, religion, cancellation culture and consent through provocative humor."
2813. Arena Wars,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom."
